g14309491509190554972,DAV International School,\N,V,,1,22269,9,
g03693453204199753453,DAV International School,\N,VIII,,1,22269,10,
g03764990596753152031,DAV International School,\N,VII,,1,22269,6,
g09390067482655732134,DAV International School,\N,IX,,1,22269,11,
g01593235296825339040,DAV International School,\N,VII,,1,22269,9,
g13600592092836178110,DAV International School,\N, airoli,,1,22269,8,
1.17543E+20,DAV International School,\N, Thane,,1,22269,8,
1.15833E+20,DAV International School,\N, thane,,1,22269,2,
g04838372086510942459,DAV International School,\N, Thane,,1,22269,8,
g03991491188047096084,DAV International School,\N,V,,1,22269,9,
1.10615E+20,Davinternationalschoolkharghar,\N,IX,,1,22269,7,
g06132712884948583331,DAVISK,\N,X,,1,22269,9,
g00998124817661190291,DCB,\N,III,,1,22269,5,
g11638572945221482116,defodils,\N,I,,1,22269,7,
1.05317E+20,Delhi Public School,\N,X,,1,22269,5,
g11679549547593649871,Delhi Public School,\N,X,,1,22269,8,
a_2895124820451799049,delhi public school,\N,VIII,,1,22269,7,
1.08649E+20,Delhi Public School,\N, Nerul,,1,22269,4,
g04819083987436910180,Delhi Public School,\N, Nerul,,1,22269,9,
g13624779164742008217,Dempo GVM School,\N,Post Graduate,,1,22269,8,
g15568765972384912248,dombos school,\N,VIII,,1,22269,1,
g10178741681373063027,Dominic savio,\N,X,,1,22269,4,
g14495432407765881852,Don Bosco High School,\N,IX,,1,22269,9,
a_7041935486518522752,Don Bosco High School,\N,VIII,,1,22269,4,
g04743787665567234066,Don Bosco High School,\N,IX,,1,22269,8,
g08873596395680300128,Don Bosco High School,\N,VIII,,1,22269,4,
g03323871838205511919,Don Bosco High School,\N,IX,,1,22269,7,
g07918061685970551355,Don Bosco High School,\N,VII,,1,22269,8,
g18200544660387891585,Don Bosco High School,\N,X,,1,22269,8,
1.12593E+20,Don Bosco High School,\N,IX,,1,22269,1,
g02306889023678167658,DPS,\N,VII,,1,22269,9,
g01140381888261217019,DPS,\N,VIII,,1,22269,9,
g16836521432166987115,DPS,\N,II,,1,22269,4,
g04186760776552007767,DPS,\N,VIII,,1,22269,8,
g11177809021258068237,DPS,\N,VIII,,1,22269,9,
g07534012040569368556,DPS,\N,VIII,,1,22269,8,
g13959294404691658660,DPS,\N,VIII,,1,22269,7,
a_8274596469660316910,DPS,\N,VII,,1,22269,7,
g02802869283275492726,DPS,\N,II,,1,22269,9,
g01800021464294692248,DPS,\N,IV,,1,22269,1,
g06914556603735100117,DPS,\N,XI,,1,22269,7,
g12689832197634399322,DPS,\N,X,,1,22269,7,
g10382254474383061379,DPS,\N,III,,1,22269,7,
g07493049714192529563,DPS,\N,VII,,1,22269,9,
g06055005833147971668,DPS,\N,XI,,1,22269,9,
a_2914370155786414687,DPS,\N,III,,1,22269,5,
g08422134008576530448,DPS,\N,IX,,1,22269,8,
g06479319000801024772,DPS,\N,III,,1,22269,5,
g11335802678112915935,DPS,\N,VIII,,1,22269,1,
g06745536645623230682,DPS,\N,VI,,1,22269,5,
g15098673345962434034,DPS,\N,I,,1,22269,10,
g14424218873165836593,DPS,\N,XII,,1,22269,6,
g09621777845857906469,DPS,\N,VI,,1,22269,7,
g10844450884160327501,DPS,\N,VIII,,1,22269,7,
a_2502647702757513454,DPS,\N,VIII,,1,22269,4,
g17290331201249361463,DPS,\N,VI,,1,22269,6,
g03712837353585179324,DPS,\N,VIII,,1,22269,5,
a_7605588883168047182,DPS,\N,V,,1,22269,8,
g13050211055626194693,DPS,\N,VIII,,1,22269,7,
g13145138981698488353,DPS,\N,VI,,1,22269,8,
g04949488053071990024,DPS,\N,III,,1,22269,8,
g01324296475367100586,DPS,\N,VII,,1,22269,6,
g14408360220940727927,DPS,\N,IX,,1,22269,6,
g14408824783438743875,DPS,\N,VIII,,1,22269,7,
g03087120842182945578,DPS,\N,VIII,,1,22269,10,
1.13718E+20,DPS,\N,I,,1,22269,7,
g11228893476963040235,DPS,\N,VIII,,1,22269,1,
a_1901407068276647758,DPS,\N,VIII,,1,22269,9,
1.16477E+20,DPS,\N,IX,,1,22269,6,
g05086514695145640442,DPS,\N,IX,,1,22269,6,
g06485326039413000003,DPS,\N,X,,1,22269,8,
a_3419120795366187499,DPS,\N,VIII,,1,22269,8,
a_7545532599902152485,DPS,\N,IX,,1,22269,1,
a_4305175860093617486,DPS,\N,VII,,1,22269,1,
a_8248286821551960211,DPS,\N,IX,,1,22269,4,
a_4057037870998319351,DPS,\N,VIII,,1,22269,6,
a_5640782403837240084,DPS,\N,I,,1,22269,11,
g02328978542064468619,DPS,\N,IX,,1,22269,7,
g11919827667380795416,DPS,\N,II,,1,22269,4,
1.14563E+20,DPS,\N,nerul,,1,22269,4,
g10156153302148212259,DPS,\N,Nerul,,1,22269,11,
g16411619801048222806,dpya high school,\N,IX,,1,22269,5,
1.05397E+20,Dr Antonia Dsilva school,\N,VIII,,1,22269,9,
g16281710046494132903,Dr antonio da silva technical ,\N,VIII,,1,22269,7,
g11819006921487331587,Dr Antonio da silva technical ,\N,VIII,,1,22269,8,
a_1028192496609878806,Dr Radha Krishna ,\N,I,,1,22269,6,
g12042183928648497968,Dr sarvapalli radhakrishnan vidyalaya,\N,VII,,1,22269,6,
g09383674577278136688,DR V S E C,\N,X,,1,22269,6,
g11683587542823175141,Dr. Antonio da silva ,\N,X,,1,22269,6,
g01966174656046232550,Dr. Antonio da silva High Scho,\N,VIII,,1,22269,6,
g00717240582569474218,DR.ANTHONY D'SILVA,\N,X,,1,22269,6,
g04227298461443737642,Dr.Antonio da high school,\N,VII,,1,22269,6,
g12695553473276614978,Dr.antonio da Silva high school,\N,V,,1,22269,5,
g02748470415620094234,DR.ANTONIO DA SILVA TECHNICAL ,\N,VIII,,1,22269,1,
g13758630238945837988,Dr.Antonio Da Silva Technical High School,\N,VIII,,1,22269,6,
g06629165549898734176,Dr.N.A.Magdum school ankali,\N,I,,1,22269,8,
a_2433030881824587990,D'silva High School,\N,XI,,1,22269,6,
g10597752422794209798,Duruelo convent ,\N,IX,,1,22269,9,
g16090042439069419518,duruelo convent high school,\N,VIII,,1,22269,5,
g01708039192792577997,Duruelo convent high school,\N,VII,,1,22269,8,
g04988368303474364322,Duruelo convent high school,\N,IX,,1,22269,5,
g04019763379757966761,Duruelo Convent High School,\N,VIII,,1,22269,9,
g15999137290552698151,duruelo convent hight schools,\N,VIII,,1,22269,6,
g02635643842691295362,Duruelo Convent School ,\N,VIII,,1,22269,8,
g03803138163485266953,dyi,\N,VIII,,1,22269,8,
g15416237589408834126,edu,\N,X,,1,22269,7,
g16799060382216740027,edu,\N,X,,1,22269,8,
a_3423663589095105471,EDU IS FUN,\N,Under Graduate,,1,22269,9,
a_7967985265492372467,EDUISFUN,\N,I,,1,22269,8,
a_4318124408151997972,EDUISFUN,\N,II,,1,22269,8,
g05584808596712753949,EDUISFUN,\N,X,,1,22269,11,
a_373927234734456005,EDUISFUN,\N,Under Graduate,,1,22269,11,
g16218737378351966720,EDUISFUN,\N,IX,,1,22269,10,
g10237582718815314599,EDUISFUN,\N,VIII,,1,22269,6,
g00993885438729124346,EDUISFUN,\N,VIII,,1,22269,8,
g14904131018861635616,EDUISFUN,\N,I,,1,22269,10,
ㅧ㘳㘷㈹㈰㘹㈶㔴㜹㠱7\0\0\0\0\0\0\0\0\0\0,EDUISFUN,\N,I,,1,22269,7,
g18385411428379835678,EDUISFUN,\N,VI,,1,22269,10,
g02297931330749738230,EDUISFUN,\N,VIII,,1,22269,9,
g14225419109780964390,EDUISFUN,\N,II,,1,22269,9,
g13061963875219421161,EDUISFUN,\N,X,,1,22269,10,
g17893156924393946755,EDUISFUN,\N,VI,,1,22269,5,
g15915209750500111944,EDUISFUN,\N,I,,1,22269,1,
g16674667147868950583,EDUISFUN,\N,VI,,1,22269,9,
g05757937613709397393,EDUISFUN,\N,VIII,,1,22269,7,
g09966522634284061278,EDUISFUN,\N,VIII,,1,22269,6,
g03175325972110488864,EDUISFUN,\N,VIII,,1,22269,9,
a_1372084441029443662,EDUISFUN,\N,VIII,,1,22269,10,
a_7975704206220756768,EDUISFUN,\N,VIII,,1,22269,10,
a_8639941120952297857,EDUISFUN,\N,VIII,,1,22269,3,
g05232969121149206076,EDUISFUN,\N,I,,1,22269,5,
g09852879563110665484,EDUISFUN,\N,VIII,,1,22269,6,
a_7535014371432716246,EDUISFUN,\N,XI,,1,2707,9,Mumbai 
g08581170841376234028,EDUISFUN,\N,XI,,1,22269,10,
g04163091825122555229,EDUISFUN,\N,IX,,1,22269,8,
a_2536047137391394520,EDUISFUN,\N,VII,,1,22269,1,
a_5693327473167388280,EDUISFUN,\N,VII,,1,2707,10,Mumbai
g00762626820909387832,EDUISFUN,\N,IX,,1,22269,10,
g13449626469374432908,EDUISFUN,\N,IV,,1,2763,10,Pune
g04243379517106047225,EDUISFUN,\N,XI,,1,22269,3,
g14366326841884551952,EDUISFUN,\N,II,,1,2707,9,Mumbai
g04805963223227906004,EDUISFUN,\N,X,,1,2707,8,Mumbai
g15385039620334479020,EDUISFUN,\N,VIII,,1,22269,7,
g04779071490925463130,EDUISFUN,\N,III,,1,2471,10,Vidisha
g03914168398125103908,EDUISFUN,\N,V,,1,22269,8,
g00409977613111224140,EDUISFUN,\N,III,,1,2707,9,Mumbai
g08032908925405854290,EDUISFUN,\N,I,,1,22269,8,
g00928529126086295174,EDUISFUN,\N,VIII,,1,706,1,Delhi
g13324574999517040117,EDUISFUN,\N,IV,,1,22269,7,
g15253215285858445416,EDUISFUN,\N,I,,1,22269,7,
a_4198465993134194399,EDUISFUN,\N,II,,1,22269,9,
g05303442745985606604,EDUISFUN,\N,II,,1,2836,8,Thane
a_6647698163097351253,EDUISFUN,\N,XI,,1,22269,10,
g00185032156890863753,euro,\N,VIII,,1,22269,8,
g13230935983047846415,fatima high school,\N,X,,1,2707,8,Mumbai
g01204944330081700337,fatima high school,\N,X,,1,22269,8,
g12460710157418217123,Fatima High School,\N,IX,,1,\N,8,Dmbivali
g00085251730529976770,Fatima School,\N,I,,1,2836,8,Thane
g15227330482989217104,Fatimadevi English High School,\N,VIII,,1,1930,1,Kochi
g16402810773574471637,Fatimadevi English High School,\N,VIII,,1,22269,7,
g05992221233546882431,FDEHS,\N,IX,,1,603,5,Balod
g05678626591489589217,fidai baig high school,\N,III,,1,\N,9,Powai
g08685757987444269495,Fr Angel Multipurpose School ,\N,IX,,1,22269,8,
a_8857110684661989513,Fr.Agnel Multipurpose School,\N,IX,,1,22269,8,
g14049342799129067760,g.m.e.s  high   school,\N,IX,,1,22269,8,
g11176374122612495450,G.R. PATIL,\N,VIII,,1,2707,10,Mumbai
a_1636809170922012872,gayathri,\N,VIII,,1,2707,2,Mumbai
g14504636033259239867,GEI SUBHEDAR WADA,\N,X,,1,22269,6,
g04394829651512538244,gfffv,\N,X,,1,2707,10,Mumbai
g02059289551630321273,ggn,\N,VIII,,1,2726,10,Navi Mumbai
g11275444313497405461,gh,\N,VIII,,1,2707,8,Mumbai
g02281351967777447766,ghatkopar,\N,VIII,,1,22269,9,
g02712054328605440340,Gopal Sharma International ,\N,IX,,1,3912,9,Madurai
a_5630684836123458432,government,\N,VIII,,1,2229,10,Indore
a_6075375618349252559,Govt school,\N,Post Graduate,,1,\N,2,Nasik 
a_5184822003918443339,govt school Bangalore,\N,V,,1,2707,4,Mumbai 
a_6872822163550531706,great ashoka public school,\N,VII,,1,2618,1,Kalyan
g11931507962096850313,Gurgaon,\N,II,,1,2707,10,Mumbai
g17193519502710157118,h wadia,\N,I,,1,4401,5,Vellore 
g07924748961811006730,Heaven bell convent high schoo,\N,VI,,1,22269,7,
g16668618548552509586,hiranandani,\N,IX,,1,2836,8,Thane
1.14186E+20,Hiranandani Foundation,\N,VIII,,1,\N,3,Thoothukudi
g02843623896518061851,Hiranandani Foundation,\N,IX,,1,22269,10,
1.00927E+20,Hiranandani Foundation ,\N,IX,,1,783,2,Ahmedabad 
g13070358139808244512,Hiranandani Foundation ,\N,IX,,1,1779,8,Sagar
g02036498450898708841,Hiranandani foundation School,\N,IX,,1,1041,10,Surat
g06886549221220237661,hiranandani foundation school,\N,VII,,1,2707,4,Mumbai
g02139557078184662580,Hiranandani foundation school,\N,VIII,,1,2707,4,Mumbai
g08083458120762885468,holy Cross high school,\N,X,,1,\N,7,Haryana
g12393316432539752483,Holy Cross kalyan,\N,X,,1,2707,10,Mumbai
g11394825241434760156,holy cross kalyan,\N,X,,1,22269,8,
g16613352962753602920,holy fa!ily high school,\N,IX,,1,2707,10,Mumbai
g09431165789193664989,Holy Family,\N,X,,1,2618,8,Kalyan
g18110129032311005479,holy family high school,\N,VIII,,1,2707,8,Mumbai
g18210527204322330608,Holy Family High School,\N,VIII,,1,3378,9,Jaipur 
g03831203340570868772,Holy family high school,\N,VIII,,1,2567,4,Dhule 
g00414326365986573750,holy family high school,\N,X,,1,2707,10,Mumbai
1.06795E+20,holyangelschool,\N,I,,1,22269,9,
g07951054495033317813,hzus,\N,II,,1,22269,8,
g16925027455838197299,I s h school dadar,\N,V,,1,2707,9,Mumbai 
g14382869538441671355,I.e.s,\N,X,,1,2726,9,Navi Mumbai
g14937360481436504293,I.E.S  Modern English School,\N,VII,,1,1041,10,Surat
g14461392380126568064,I.E.S.V.N.SULE GURUJI,\N,X,,1,2726,9,Navi Mumbai
g00585778388443260823,I.E.S.V.N.SULE GURUJI ,\N,IX,,1,2707,6,Mumbai
a_8904672130381399565,Ics,\N,VI,,1,22269,9,
g02935455585835019898,Ideal english high school,\N,VIII,,1,2707,10,Mumbai
g09978632206834043201,IES,\N,VIII,,1,4546,10,Allahabad
g16534320171661822405,IES,\N,I,,1,\N,2,Mira Road
g02360097703024719580,IES,\N,VIII,,1,\N,10,Ahemdabad 
g02113216717985301410,IES,\N,VIII,,1,2715,4,Nagpur
g04590407413286179593,IES,\N,IX,,1,22269,10,
g17969178883755125287,IES,\N,XI,,1,2483,8,Akot
g10909300375427480625,IES,\N,II,,1,22269,8,
g06759608520345190025,ies,\N,VIII,,1,22269,10,
g04241311194067648913,IES,\N,IX,,1,22269,7,
g10632278201475632158,IES Dadar,\N,VIII,,1,\N,7,Chf
g06351151152511409058,ies mes,\N,VIII,,1,2707,1,Mumbai
g10545866990269962066,IES modern English,\N,VIII,,1,22269,8,
g18156662104143569506,ies modern english school,\N,V,,1,1558,1,Bengaluru 
g09466506470043635390,IES modern English School,\N,VII,,1,2571,10,Dombivli
g00581281652857980196,IES Modern School Dadar,\N,VII,,1,4001,10,Namakkal 
g18005285446507195106,IFC,\N,II,,1,\N,8,Navimumbai
g13962498780043904841,igloo,\N,VII,,1,706,1,Delhi
a_1398114658623820961,IIS,\N,I,,1,4460,9,Hyderabad
g00054023759637173513,iitians PACE,\N,XII,,1,2707,8,Mumbai
g12006995252709266566,IITiansPACE,\N,VIII,,1,1792,10,Shahapur
g08273721916573691542,IITiansPACE,\N,I,,1,2707,5,Mumbai
g00024969056841931146,ILVA HSS,\N,IX,,1,2603,8,Jalgaon
a_7532942948623787331,ios,\N,I,,1,2707,10,Mumbai
g06500051094924279595,is Engalish,\N,VII,,1,2707,10,Mumbai
a_7749238388999876634,itrealam alla hu akb,\N,X,,1,2707,6,Mumbai
